id,stop_id,name,linia,stop_type,geometry
B-B21-105985,105985,Pont del Molinet,B21,Bus,POINT (2.2127465732 41.4368989736)
B-B24-105985,105985,Pont del Molinet,B24,Bus,POINT (2.2127465732 41.4368989736)
B-B14-100876,100876,Hospital Esperit Sant - Pont del Molinet,B14,Bus,POINT (2.2130507595 41.4371813161)
B-B20-100876,100876,Hospital Esperit Sant - Pont del Molinet,B20,Bus,POINT (2.2130507595 41.4371813161)
B-B14-102045,102045,Ctra. de Sta. Coloma - Madrid,B14,Bus,POINT (2.2142556263 41.4354925785)
B-B21-102045,102045,Ctra. de Sta. Coloma - Madrid,B21,Bus,POINT (2.2142556263 41.4354925785)
B-B20-102045,102045,Ctra. de Sta. Coloma - Madrid,B20,Bus,POINT (2.2142556263 41.4354925785)
B-B20-105684,105684,Hospital Esperit Sant - Pont del Molinet,B20,Bus,POINT (2.2129549771 41.4375992026)
B-B81-109790,109790,Escola Pere de Tera,B81,Bus,POINT (2.2140884185 41.4410121755)
B-B81-108087,108087,Sant Andreu - Mas Mari,B81,Bus,POINT (2.2147838534 41.4455785193)
B-B15-108087,108087,Sant Andreu - Mas Mari,B15,Bus,POINT (2.2147838534 41.4455785193)
B-B81-108817,108817,Escola Tanit,B81,Bus,POINT (2.2153602904 41.4446943195)
B-B15-108817,108817,Escola Tanit,B15,Bus,POINT (2.2153602904 41.4446943195)
B-V33-3655,3655,Irlanda - Mossen Jacint Verdaguer,V33,Bus,POINT (2.214965997 41.4476580021)
B-B80-3405,3405,Irlanda,B80,Bus,POINT (2.2145870037 41.448687)
B-B20-3405,3405,Irlanda,B20,Bus,POINT (2.2145870037 41.448687)
B-V33-3405,3405,Irlanda,V33,Bus,POINT (2.2145870037 41.448687)
B-B80-101493,101493,Rbla. Sant Sebastia - Irlanda,B80,Bus,POINT (2.2146557295 41.450689559)
B-B81-101493,101493,Rbla. Sant Sebastia - Irlanda,B81,Bus,POINT (2.2146557295 41.450689559)
