id,stop_id,name,linia,stop_type,geometry
SB-293,293,Av Joan XXIII - Pl Pius XII,IU Stop,Bus,POINT (2.1226140051328013 41.385640999749015)
SB-295,295,González Tablas - Sor Eulàlia d'Anzizu,IU Stop,Bus,POINT (2.1088590013125663 41.385765002004774)
SB-296,296,Av Doctor Marañón - Baldiri i Reixac,IU Stop,Bus,POINT (2.113964997014834 41.38205499899533)
SB-297,297,Av Pedralbes - Pg Manuel Girona,IU Stop,Bus,POINT (2.1189359981953735 41.390002004246846)
SB-300,300,Pujades - Ciutat de Granada,IU Stop,Bus,POINT (2.196766997646853 41.39877999652986)
SB-306,306,Pg Verdum - Doctor Pi i Molist,IU Stop,Bus,POINT (2.172375003380434 41.43586900353616)
SB-307,307,Av Gaudí,IU Stop,Bus,POINT (2.1751540028661562 41.4100320031327)
SB-308,308,València - Dos de Maig,IU Stop,Bus,POINT (2.1818039949640005 41.40648799640799)
SB-309,309,Diagonal - Complex Esportiu Universitari,IU Stop,Bus,POINT (2.1078740040249984 41.38326800357717)
SB-310,310,Diagonal - Av Doctor Marañón,IU Stop,Bus,POINT (2.1116120041899697 41.38422200355385)
SB-312,312,Comte d'Urgell - Gran Via,IU Stop,Bus,POINT (2.157997994974492 41.38266799667085)
SB-313,313,Pg de Gràcia - Gran Via,IU Stop,Bus,POINT (2.1675600045190624 41.39013799673378)
SB-314,314,Calàbria - Gran Via,IU Stop,Bus,POINT (2.154744005014642 41.37997899584596)
SB-315,315,Pg de Sant Joan - Diputació,IU Stop,Bus,POINT (2.174671001746342 41.39541899712183)
SB-316,316,Aribau - Gran Via,IU Stop,Bus,POINT (2.162533005903802 41.38604199694226)
SB-317,317,Pl Tetuan - Pg de Sant Joan,IU Stop,Bus,POINT (2.1752719974322017 41.3954710012137)
SB-319,319,Entença - Gran Via,IU Stop,Bus,POINT (2.1523500030745595 41.37837399936969)
SB-320,320,Tarragona - Parc de Joan Miró,IU Stop,Bus,POINT (2.1474189981579603 41.37670400188018)
SB-321,321,Llúria - Gran Via,IU Stop,Bus,POINT (2.1704230021576665 41.392008995569356)
SB-327,327,Pare Manyanet - Virgili,IU Stop,Bus,POINT (2.1942570001894848 41.428153997859475)
SB-328,328,Meridiana - Pegaso,IU Stop,Bus,POINT (2.1864900000463847 41.425401001384756)
SB-330,330,Pg de Santa Eulàlia - Can Caralleu,IU Stop,Bus,POINT (2.1153490041054432 41.40382700300974)
SB-336,336,Balmes - Via Augusta,IU Stop,Bus,POINT (2.147888005727081 41.4008600018209)
SB-337,337,València - Muntanya,IU Stop,Bus,POINT (2.1880889991748598 41.411226003463675)
SB-342,342,Cementiri de l'Est,IU Stop,Bus,POINT (2.202388003140805 41.394275002386564)
SB-343,343,Pl de Sant Jordi,IU Stop,Bus,POINT (2.144752004515101 41.3663280040724)
SB-344,344,Piscines Picornell - Museu Nacional,IU Stop,Bus,POINT (2.151357996673868 41.366472003729655)
SB-345,345,Av de l'Estadi - Estadi Olímpic,IU Stop,Bus,POINT (2.1545439998798406 41.36600199559337)
SB-346,346,Estadi Olímpic,IU Stop,Bus,POINT (2.1553170037332845 41.36616399811797)
SB-347,347,Piscines Picornell - Museu Nacional,IU Stop,Bus,POINT (2.1517180023753717 41.366539998788596)
SB-348,348,Av Estadi - INEFC,IU Stop,Bus,POINT (2.1473730034723846 41.365477001563974)
SB-349,349,Av Estadi - INEFC,IU Stop,Bus,POINT (2.146806995330185 41.36553000428433)
SB-350,350,Av de Vallcarca - Baixada de la Glòria,IU Stop,Bus,POINT (2.1470099953912376 41.41038499940315)
SB-360,360,Sant Adrià - Formiga,IU Stop,Bus,POINT (2.201628005909703 41.435793001610726)
SB-362,362,Meridiana - Escòcia,IU Stop,Bus,POINT (2.183648005720055 41.42914300385431)
SB-363,363,Felip II - Pl del Congrés,IU Stop,Bus,POINT (2.1798470008566433 41.425886995897436)
SB-364,364,Felip II - Arnau d'Oms,IU Stop,Bus,POINT (2.1780640051214215 41.42724699792524)
SB-365,365,Lletres - Dante Alighieri,IU Stop,Bus,POINT (2.157915000707638 41.42793599871785)
SB-366,366,Pl de l'Estatut,IU Stop,Bus,POINT (2.1552549986265923 41.430511001110155)
SB-368,368,Trav de Dalt - Torrent de les Flors,IU Stop,Bus,POINT (2.156636001748346 41.410459998571504)
SB-369,369,Pi i Margall - Escorial,IU Stop,Bus,POINT (2.1631649944276266 41.40665400412001)
