id,stop_id,name,linia,stop_type,geometry
SB-548,548,Zona Universitària - Facultat d'Economia i Empresa,IU Stop,Bus,POINT (2.111023998084714 41.3846950036497)
SB-549,549,Av d'Esplugues - Av Pearson,IU Stop,Bus,POINT (2.111624995133029 41.39213799552182)
SB-550,550,Av d'Esplugues - Dr Joaquim Albarrán,IU Stop,Bus,POINT (2.1090289948512804 41.38994000256022)
SB-552,552,Av d'Esplugues - Eduard Toldrà,IU Stop,Bus,POINT (2.1065760004092153 41.38788100178284)
SB-557,557,Lesseps - Av Riera de Cassoles,IU Stop,Bus,POINT (2.149836002101013 41.406117999376484)
SB-560,560,Villarroel - Gran Via,IU Stop,Bus,POINT (2.1592010051361132 41.38329099782077)
SB-561,561,Pg de Gràcia - Casp,IU Stop,Bus,POINT (2.1692509948792655 41.388912001123856)
SB-562,562,Balmes - Gran Via,IU Stop,Bus,POINT (2.164736005015333 41.38761300320176)
SB-564,564,Muntaner - Diputació,IU Stop,Bus,POINT (2.1599510024322326 41.38614000295141)
SB-565,565,Rambla Prim - Bernat Metge,IU Stop,Bus,POINT (2.2112788590188637 41.41767480972768)
SB-569,569,Extremadura - Pl Clementina Arderiu,IU Stop,Bus,POINT (2.2112719980882938 41.422486999937945)
SB-577,577,Metro Pg de Gràcia,IU Stop,Bus,POINT (2.1675200018406544 41.38991899607807)
SB-584,584,Metro Pl de Sants,IU Stop,Bus,POINT (2.1368099945831176 41.375311998633514)
SB-586,586,Pg Valldaura - Mercat Guineueta,IU Stop,Bus,POINT (2.16972800485847 41.43901199846851)
SB-603,603,Lima - Ciutat d'Asunción,IU Stop,Bus,POINT (2.2007920027282912 41.43919799981147)
SB-605,605,Pg Vall d'Hebron - Av de Vallcarca,IU Stop,Bus,POINT (2.1394150056381553 41.418432001199456)
SB-607,607,Pg Vall d'Hebron - Velòdrom,IU Stop,Bus,POINT (2.149734994681037 41.43718999802623)
SB-614,614,Pg Vall d'Hebron - Av Can Marcet,IU Stop,Bus,POINT (2.1483449963762435 41.435624997808866)
SB-619,619,Cantàbria - Menorca,IU Stop,Bus,POINT (2.198677001719468 41.42155799953171)
SB-622,622,Pg Bonanova,IU Stop,Bus,POINT (2.1233449991084132 41.39996899988409)
SB-626,626,Av Mare de Déu de Montserrat - La Bisbal,IU Stop,Bus,POINT (2.1716960016260654 41.41798800336364)
SB-629,629,Numància - Berlín,IU Stop,Bus,POINT (2.1394509991861446 41.38275899755587)
SB-634,634,Lepant - Sant Antoni Maria Claret,IU Stop,Bus,POINT (2.1715700037917287 41.40820500037636)
SB-635,635,Dos de Maig - Sant Antoni Maria Claret,IU Stop,Bus,POINT (2.1759789990738314 41.411569996397304)
SB-641,641,Gran de Sant Andreu - Fabra i Puig,IU Stop,Bus,POINT (2.189992994278767 41.42932700007369)
SB-649,649,Pg Maragall - Mossèn Josep Bundó,IU Stop,Bus,POINT (2.1681420003723786 41.42736800032179)
SB-652,652,Pg Maragall - Amílcar,IU Stop,Bus,POINT (2.1729630052388695 41.42627499898193)
SB-654,654,Av Miramar - Fundació Joan Miró,IU Stop,Bus,POINT (2.1597739954592905 41.36777000135593)
SB-655,655,Av Miramar - Estació del Funicular,IU Stop,Bus,POINT (2.1629429943410345 41.36887600077113)
SB-656,656,Av Miramar - Escoles del Bosc,IU Stop,Bus,POINT (2.1619440057355304 41.368936997783095)
SB-657,657,Fundació Joan Miró - Pl Neptú,IU Stop,Bus,POINT (2.1596310033076964 41.3678609962078)
SB-661,661,Aragó - Independència,IU Stop,Bus,POINT (2.1848291255245047 41.40720939509749)
SB-662,662,Marina - Pl dels Voluntaris,IU Stop,Bus,POINT (2.1956165004298587 41.38838506995279)
SB-667,667,Via Laietana - Correus,IU Stop,Bus,POINT (2.1797058889445284 41.38314714931683)
SB-681,681,Av Jordà - Idumea,IU Stop,Bus,POINT (2.1389190058219945 41.42664700000502)
SB-697,697,Pallars - Zamora,IU Stop,Bus,POINT (2.190915000226239 41.39597399803267)
SB-698,698,Av Icària - Joan Miró,IU Stop,Bus,POINT (2.1963110056527575 41.39042299831602)
SB-699,699,Benet Mateu - Manuel de Falla,IU Stop,Bus,POINT (2.1262399988971965 41.3938529984152)
SB-700,700,Pg Calvell - Rambla del Poblenou,IU Stop,Bus,POINT (2.2065190008195708 41.39744699556359)
SB-703,703,Ronda Sant Antoni - Pl Goya,IU Stop,Bus,POINT (2.1637750056902734 41.38304399772029)
SB-704,704,Parc de la Vall d'Hebron,IU Stop,Bus,POINT (2.145727996713024 41.43131200323899)
SB-705,705,Meridiana - Josep Estivill,IU Stop,Bus,POINT (2.187081629521355 41.41794463997854)
SB-707,707,Sants - Badal,IU Stop,Bus,POINT (2.131880005174098 41.37541800427265)
SB-708,708,Pl de Sants,IU Stop,Bus,POINT (2.1343169975392575 41.37536799685674)
SB-709,709,Les Corts - Carles III,IU Stop,Bus,POINT (2.1288360039916134 41.38273200399146)
SB-711,711,Av Pedralbes - Cavallers,IU Stop,Bus,POINT (2.1151929998515233 41.3929030034513)
SB-722,722,Paral·lel - Cabanes,IU Stop,Bus,POINT (2.1706349963968408 41.37479399782006)
SB-723,723,Paral·lel - Drassanes,IU Stop,Bus,POINT (2.1745576004389275 41.374549229722454)
SB-731,731,Pg Torras i Bages - Els Segadors,IU Stop,Bus,POINT (2.1912779961119617 41.4369760029813)
SB-732,732,Hospital Sant Rafael,IU Stop,Bus,POINT (2.1407039953959486 41.42516000374303)
SB-733,733,Escola Oficial d'Idiomes Vall d'Hebron,IU Stop,Bus,POINT (2.1385430054811434 41.42661700065185)
SB-734,734,Centre Cívic Casa Groga,IU Stop,Bus,POINT (2.13698800090582 41.427023003161274)
SB-749,749,Santa Rosalia - Castellbisbal,IU Stop,Bus,POINT (2.143730000490074 41.42075400001772)
SB-752,752,Aiguablava - Pedrosa,IU Stop,Bus,POINT (2.182142994993306 41.44892299891655)
SB-753,753,Aiguablava - La Fosca,IU Stop,Bus,POINT (2.1817629984117977 41.44839600176623)
SB-754,754,Pg Vall d'Hebron - L'Arrabassada,IU Stop,Bus,POINT (2.1390620045997215 41.41862300236761)
