,origen,dest,tram,linia,type,geometry,length,speed,time,directed
56,B-D20-273,B-D20-1788,Hospital del Mar - Trelawny - Av Litoral,D20,Bus,"LINESTRING (2.1949949078910533 41.3835891137796, 2.1950385799999994 41.38366006999999, 2.195689380000001 41.384699669999996, 2.19569062 41.38476148, 2.19565925 41.38481965999998, 2.19562802 41.384852779999996, 2.1952266 41.38516654, 2.19513961 41.38522095999999, 2.1945722551044233 41.38565203254528)",279.8484392920548,3.333333333333333,1.3992421964602744,True
57,B-D40-3763,B-D40-3125,Diputació - Vilamarí - Metro Tarragona,D40,Bus,"LINESTRING (2.1495624303434004 41.37728336300852, 2.1495212599999998 41.37725274999998, 2.14949348 41.37722256000001, 2.149462730000001 41.37714809999999, 2.14947952 41.37708581999999, 2.1495078700000003 41.377053569999994, 2.1503546299999994 41.37642805000001, 2.1504190600000004 41.37638792999999, 2.15045404 41.37634295, 2.1504589299999997 41.37631575000001, 2.15045037 41.376285969999984, 2.15037824 41.37621673, 2.1500125700000003 41.37594285, 2.14952619 41.37559476, 2.1494384 41.37555347999999, 2.14939226 41.37554025, 2.14934772 41.37553583, 2.14930709 41.3755431, 2.1492040100000005 41.37560153, 2.1483329 41.37625602, 2.1482328200000005 41.37629787, 2.14814433 41.37630489, 2.148081190000001 41.37631787, 2.14802788 41.37633841, 2.14797242 41.376372429999996, 2.1452234981485545 41.378443272868395)",748.62911580828,3.333333333333333,3.7431455790414003,True
58,B-D40-3125,B-D40-777,Metro Tarragona - Av Roma - Tarragona,D40,Bus,"LINESTRING (2.1452234981485545 41.378443272868395, 2.1429428900000005 41.38016117, 2.1429278200000006 41.38019561, 2.142939580000001 41.38022717999999, 2.14298593 41.38026548, 2.1430555200000003 41.38030221999998, 2.1435945764787068 41.380502343381046)",340.49906501304724,3.333333333333333,1.7024953250652364,True
59,B-D40-777,B-D40-217,Av Roma - Tarragona - Josep Tarradellas - Rosselló,D40,Bus,"LINESTRING (2.1435945764787068 41.380502343381046, 2.1437415599999996 41.38055691, 2.1442748500000004 41.380792009999986, 2.14430417 41.380816, 2.1443440400000005 41.38087374999999, 2.1443529600000004 41.38093808, 2.1443432 41.38096977, 2.1443092 41.38101496000001, 2.1439829000000006 41.38124866, 2.14279651 41.38214148, 2.14270889 41.38224114, 2.1426776200000015 41.38229617, 2.142642370000001 41.382412710000004, 2.1426389200000004 41.38247251999999, 2.142667649972658 41.382889300819194)",356.8415100888927,3.333333333333333,1.7842075504444634,True
60,B-D40-217,B-D40-1253,Josep Tarradellas - Rosselló - Josep Tarradellas - París,D40,Bus,"LINESTRING (2.142667649972658 41.382889300819194, 2.1428717900000005 41.38585058999999, 2.142938425493412 41.386412526021395)",391.8534760937492,3.333333333333333,1.959267380468746,True
61,B-D40-1253,B-D40-1554,Josep Tarradellas - París - Josep Tarradellas - Viladomat,D40,Bus,"LINESTRING (2.142938425493412 41.386412526021395, 2.1429384900000006 41.38641306999999, 2.14305788 41.38714081, 2.1432238300000006 41.38795216999999, 2.143522616667154 41.389200075485824)",313.3961168942576,3.333333333333333,1.566980584471288,True
62,B-D40-1554,B-D40-136,Josep Tarradellas - Viladomat - Josep Tarradellas - Av de Sarrià,D40,Bus,"LINESTRING (2.143522616667154 41.389200075485824, 2.1435228499999996 41.389201050000004, 2.1438521700000006 41.3904678, 2.1440119070146664 41.390965482478464)",200.26542625826843,3.333333333333333,1.0013271312913423,True
63,B-D40-136,B-D40-1546,Josep Tarradellas - Av de Sarrià - Buenos Aires - Comte d'Urgell,D40,Bus,"LINESTRING (2.1440119070146664 41.390965482478464, 2.1440631900000007 41.39112526000001, 2.1441023600000007 41.391167939999995, 2.1441319200000004 41.39118170999997, 2.14416536 41.391188930000006, 2.1442336400000004 41.39118204999999, 2.14426336 41.39116848, 2.1445893800000007 41.39092277999998, 2.1446751599999994 41.39087284, 2.14477853 41.39084819000001, 2.1448328900000004 41.390846419999995, 2.1448868300000012 41.39085184, 2.14498687 41.39088335, 2.146591876807194 41.39204678246683)",299.6059834825418,3.333333333333333,1.498029917412709,True
64,B-D40-1546,B-D40-8869,"Buenos Aires - Comte d'Urgell - Casanova, 211-268",D40,Bus,"LINESTRING (2.146591876807194 41.39204678246683, 2.14826225 41.39325752999999, 2.14829464 41.39329884999999, 2.148297479999999 41.39332301000002, 2.14827525 41.39336796999999, 2.1480579300000002 41.39351517, 2.147033694229573 41.394305483500325)",354.22246422046567,3.333333333333333,1.7711123211023285,True
65,B-D40-8869,B-D40-1525,"Casanova, 211-268 - Trav de Gràcia - Balmes",D40,Bus,"LINESTRING (2.147033694229573 41.394305483500325, 2.1469826100000002 41.3943449, 2.1469613599999997 41.39438161, 2.146976850000001 41.39441991, 2.1478595200000004 41.394983409999995, 2.1491739400000003 41.39579688999999, 2.15099091 41.396953139999994, 2.15207854 41.39767195000001, 2.152333882659461 41.397837251638805)",602.002281008891,3.333333333333333,3.0100114050444557,True
66,B-D40-1525,B-D40-1262,Trav de Gràcia - Balmes - Pl Gal·la Placídia,D40,Bus,"LINESTRING (2.152333882659461 41.397837251638805, 2.1531738300000005 41.39838099999999, 2.15322557 41.39844273, 2.1532384900000006 41.398478099999984, 2.1532359699999994 41.39855107, 2.1532035600000006 41.398609879999995, 2.1519693627061676 41.39983676878144)",290.8305234373284,3.333333333333333,1.4541526171866421,True
