geometry,stop_id
"POLYGON ((2.141885048266814 41.37437260163702, 2.14008374035423 41.37507427986104, 2.1400889215761407 41.37539627887211, 2.1436722313914123 41.37676408866863, 2.1439296655583475 41.376747410431875, 2.145527267046515 41.37582030844166, 2.1457968718111857 41.37436025800373, 2.145653282868109 41.37417677096731, 2.1438948864549867 41.3736078724284, 2.1436839140511723 41.37361610426346, 2.141885048266814 41.37437260163702))",121
"POLYGON ((2.1472516104072046 41.375007655317916, 2.147127246813163 41.3751638305917, 2.1471059411509565 41.37671003049364, 2.147468618790527 41.3768661668882, 2.149132309738746 41.376110385326974, 2.150832252054783 41.37685265745556, 2.1510663084056203 41.37685512558755, 2.152854711524247 41.3761238238631, 2.152860633641105 41.37580968061098, 2.1492883244944836 41.37426561351372, 2.1490555072867 41.374264257067985, 2.1472516104072046 41.375007655317916))",122
"POLYGON ((2.154465834979367 41.37808589834335, 2.152845006505345 41.377363461902846, 2.1524845617222974 41.377506439511215, 2.1523161548541814 41.37939683910036, 2.1524670465983577 41.37957648784526, 2.1544224257380855 41.380157320501176, 2.1561444918937878 41.38085343514125, 2.1564966915438477 41.38068962063649, 2.1563993517287985 41.37722214592165, 2.156004126026941 41.37708809220535, 2.154465834979367 41.37808589834335))",123
"POLYGON ((2.15746043665286 41.383042985618765, 2.157693482377801 41.384433658395444, 2.1579126926285217 41.38459073381691, 2.1615761026346196 41.38480013448139, 2.161722007777588 41.38446822071682, 2.1599381301607283 41.38361896058037, 2.159795453276763 41.38265907499377, 2.16178020498424 41.38165462854187, 2.161735931449919 41.381337924233875, 2.159943935253357 41.38079592564275, 2.158064445714461 41.381285407643965, 2.1563787777721077 41.38053937999872, 2.1560184288642743 41.38069264935436, 2.155994723120219 41.38226084925116, 2.156108526736564 41.382416320856436, 2.15746043665286 41.383042985618765))",124
"POLYGON ((2.1614795019215465 41.384462410619335, 2.1613550113937317 41.38461865106915, 2.1613337056668436 41.38618175097142, 2.1616880646396486 41.38634149808192, 2.1634120298425854 41.38562830475393, 2.1650498057967926 41.38640484330124, 2.166860909169312 41.38706954496427, 2.1672049033171654 41.38690892492733, 2.1672171987024416 41.385649624858885, 2.167119424635759 41.385503007469865, 2.1653089264267553 41.38450340968765, 2.1635045496374086 41.38372663105719, 2.1632712988179974 41.38372501235676, 2.1614795019215465 41.384462410619335))",125
"POLYGON ((2.1685210663915213 41.3877026875448, 2.168435964247208 41.38934015452343, 2.1688190297070356 41.3894910384876, 2.1706627080015792 41.38844401425067, 2.172388165930043 41.387998617460426, 2.1725497030993735 41.38783366893096, 2.1726113975032924 41.38630376875212, 2.172262091449727 41.38613840809395, 2.17053593890568 41.38681321446056, 2.1688458556283394 41.38614604096945, 2.1686363022175006 41.38614143042157, 2.1668672058092904 41.386743428957274, 2.1668576312015193 41.387068318479315, 2.1685210663915213 41.3877026875448))",126
"POLYGON ((2.172206100555676 41.389063209812264, 2.172032022770629 41.3907184770347, 2.1723593838944493 41.39089995439872, 2.174191092407447 41.39034630592593, 2.1760114954889627 41.38958110412998, 2.176134047937949 41.38942820066222, 2.1761876418912935 41.38777630049608, 2.1758317323674934 41.3876146696187, 2.1739720753513265 41.38839793591994, 2.172437403230399 41.38767544193635, 2.1720721994063164 41.38784303790987, 2.172206100555676 41.389063209812264))",127
"POLYGON ((2.1792090760105207 41.3925155184771, 2.1791811846080353 41.39409440394173, 2.179538074140854 41.39425365151096, 2.1831390443041303 41.392727559716285, 2.18326132145906 41.39257201673455, 2.1832799157394356 41.39101151664386, 2.182909172030661 41.39085942138648, 2.1811791985641866 41.391716915047496, 2.17959966903554 41.39083319238126, 2.1792177770469277 41.390977033036314, 2.1792090760105207 41.3925155184771))",128
"POLYGON ((2.184746051975471 41.393185391189355, 2.184618393395151 41.39333892223795, 2.184547987454288 41.39496292203884, 2.1846753155515315 41.395128076342715, 2.186562018812264 41.395878878185485, 2.1867499439421967 41.39589038326419, 2.1885797482313 41.39542778210557, 2.188656678860959 41.3951185542192, 2.187159525429181 41.394179878295425, 2.18851986823098 41.39353913301329, 2.188521043979903 41.393234224519354, 2.186868946226997 41.392445926358285, 2.186629448590563 41.39243869296274, 2.184746051975471 41.393185391189355))",129
"POLYGON ((2.1863376670068497 41.40351582514854, 2.1867035492285156 41.40366544496136, 2.1883804516880634 41.40287774315807, 2.188371678508821 41.40256812897545, 2.1866586812500195 41.40183793073629, 2.1863015725750508 41.40199792512512, 2.1863376670068497 41.40351582514854))",130
