route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
47,4700848-FEINERS,47000011392,MAT(CENTRE)-BCN,,0,,0047_0001,1
47,4700848-FEINERS,47000011393,MAT(CENTRE)-BCN,,0,,0047_0001,1
47,4700848-FEINERS,47000011394,MAT(CENTRE)-BCN,,0,,0047_0001,1
47,4700848-FEINERS,47000011395,MAT(CENTRE)-BCN,,0,,0047_0001,1
47,4700848-FEINERS,47000011396,MAT(CENTRE)-BCN,,0,,0047_0001,1
47,4700848-FEINERS,47000011397,MAT(CENTRE)-BCN,,0,,0047_0001,1
47,4700848-FEINERS,47000020379,BCN - MAT(CENTRE),,1,,0047_0002,1
47,4700848-FEINERS,47000011399,MAT(CENTRE)-BCN,,0,,0047_0001,1
47,4700848-FEINERS,47000011398,MAT(CENTRE)-BCN,,0,,0047_0001,1
47,4700848-FEINERS,47000020380,BCN - MAT(CENTRE),,1,,0047_0002,1
47,4700848-FEINERS,47000020381,BCN - MAT(CENTRE),,1,,0047_0002,1
47,4700848-FEINERS,47000020382,BCN - MAT(CENTRE),,1,,0047_0002,1
47,4700848-FEINERS,47000020383,BCN - MAT(CENTRE),,1,,0047_0002,1
47,4700848-FEINERS,47000020384,BCN - MAT(CENTRE),,1,,0047_0002,1
47,4700848-FEINERS,47000020385,BCN - MAT(CENTRE),,1,,0047_0002,1
47,4700848-FEINERS,47000020386,BCN - MAT(CENTRE),,1,,0047_0002,1
47,4700848-FEINERS,47000020387,BCN - MAT(CENTRE),,1,,0047_0002,1
47,4700848-FEINERS,47000020389,BCN - MAT(CENTRE),,1,,0047_0002,1
47,4700848-FEINERS,47000020388,BCN - MAT(CENTRE),,1,,0047_0002,1
47,4700848-FEINERS,47000020390,BCN - MAT(CENTRE),,1,,0047_0002,1
47,4700848-FEINERS,47000020391,BCN - MAT(CENTRE),,1,,0047_0002,1
47,4700848-FEINERS,47000020392,BCN - MAT(CENTRE),,1,,0047_0002,1
47,4700848-FEINERS,47000020393,BCN - MAT(CENTRE),,1,,0047_0002,1
47,4700848-FEINERS,47000020394,BCN - MAT(CENTRE),,1,,0047_0002,1
47,4700848-FEINERS,47000020395,BCN - MAT(CENTRE),,1,,0047_0002,1
47,4700848-FEINERS,47000020396,BCN - MAT(CENTRE),,1,,0047_0002,1
47,4700848-FEINERS,47000020397,BCN - MAT(CENTRE),,1,,0047_0002,1
47,4700848-FEINERS,47000020398,BCN - MAT(CENTRE),,1,,0047_0002,1
47,4700848-FEINERS,47000020399,BCN - MAT(CENTRE),,1,,0047_0002,1
47,4700366-FESTIUS,47000050002,MAT-C.RAL(RELLEU),,0,,0047_0005,1
47,4700366-SABADOS,47000050003,MAT-C.RAL(RELLEU),,0,,0047_0005,1
47,4700848-FEINERS,47000011400,MAT(CENTRE)-BCN,,0,,0047_0001,1
