trip_id,arrival_time,departure_time,stop_id,stop_sequence,shape_dist_traveled,timepoint
1909_0294,19:45:30,19:45:30,2019,1,0.0,1
1909_0294,19:47:30,19:47:40,2117,2,730.075,1
1909_0294,19:49:00,19:49:10,2116,3,1365.812,1
1909_0294,19:51:00,19:51:10,2114,4,1883.886,1
1909_0294,19:53:00,19:53:10,2113,5,2526.761,1
1909_0294,19:54:30,19:54:40,2128,6,3034.03,1
1909_0294,19:56:00,19:56:10,2127,7,3498.752,1
1909_0294,19:58:30,19:58:40,2126,8,4189.862,1
1909_0294,20:00:00,20:00:00,2125,9,4761.682,1
1909_0295,20:05:00,20:05:00,2125,1,0.0,1
1909_0295,20:06:00,20:06:10,2026,2,592.947,1
1909_0295,20:08:30,20:08:40,2027,3,1257.009,1
1909_0295,20:10:00,20:10:10,2028,4,1728.381,1
1909_0295,20:12:30,20:12:40,2111,5,2105.376,1
1909_0295,20:15:00,20:15:10,2029,6,2777.129,1
1909_0295,20:17:00,20:17:00,2130,7,3449.903,1
1909_0296,20:32:00,20:32:00,2130,1,0.0,1
1909_0296,20:33:30,20:33:40,2129,2,672.418,1
1909_0296,20:36:00,20:36:10,2011,3,1328.24,1
1909_0296,20:38:00,20:38:10,2128,4,1716.92,1
1909_0296,20:39:30,20:39:40,2127,5,2181.642,1
1909_0296,20:42:00,20:42:10,2126,6,2872.752,1
1909_0296,20:43:30,20:43:30,2125,7,3444.572,1
1909_0297,20:50:05,20:50:05,2125,1,0.0,1
1909_0297,20:51:05,20:51:15,2026,2,592.947,1
1909_0297,20:53:35,20:53:45,2027,3,1257.009,1
1909_0297,20:55:05,20:55:15,2028,4,1728.381,1
1909_0297,20:57:05,20:57:15,2013,5,2236.943,1
1909_0297,20:59:05,20:59:15,2014,6,2898.022,1
1909_0297,21:01:05,21:01:15,2016,7,3405.137,1
1909_0297,21:03:05,21:03:15,2017,8,4040.885,1
1909_0297,21:05:05,21:05:05,2019,9,4770.949,1
1909_0298,21:15:30,21:15:30,2019,1,0.0,1
1909_0298,21:17:30,21:17:40,2117,2,730.075,1
1909_0298,21:19:00,21:19:10,2116,3,1365.812,1
1909_0298,21:21:00,21:21:10,2114,4,1883.886,1
1909_0298,21:23:00,21:23:10,2113,5,2526.761,1
1909_0298,21:24:30,21:24:40,2128,6,3034.03,1
1909_0298,21:26:00,21:26:10,2127,7,3498.752,1
1909_0298,21:28:30,21:28:40,2126,8,4189.862,1
1909_0298,21:30:00,21:30:00,2125,9,4761.682,1
1909_0299,21:35:00,21:35:00,2125,1,0.0,1
